CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,Persona
1,Male,19,15,39,1,Average Customers
2,Male,21,15,81,0,Young Enthusiasts
3,Female,20,16,6,1,Average Customers
4,Female,23,16,77,0,Young Enthusiasts
5,Female,31,17,40,1,Average Customers
6,Female,22,17,76,0,Young Enthusiasts
7,Female,35,18,6,2,Cautious Seniors
8,Female,23,18,94,0,Young Enthusiasts
9,Male,64,19,3,2,Cautious Seniors
10,Female,30,19,72,0,Young Enthusiasts
11,Male,67,19,14,2,Cautious Seniors
12,Female,35,19,99,0,Young Enthusiasts
13,Female,58,20,15,2,Cautious Seniors
14,Female,24,20,77,0,Young Enthusiasts
15,Male,37,20,13,2,Cautious Seniors
16,Male,22,20,79,0,Young Enthusiasts
17,Female,35,21,35,1,Average Customers
18,Male,20,21,66,0,Young Enthusiasts
19,Male,52,23,29,2,Cautious Seniors
20,Female,35,23,98,0,Young Enthusiasts
21,Male,35,24,35,1,Average Customers
22,Male,25,24,73,0,Young Enthusiasts
23,Female,46,25,5,2,Cautious Seniors
24,Male,31,25,73,0,Young Enthusiasts
25,Female,54,28,14,2,Cautious Seniors
26,Male,29,28,82,0,Young Enthusiasts
27,Female,45,28,32,1,Average Customers
28,Male,35,28,61,1,Average Customers
29,Female,40,29,31,1,Average Customers
30,Female,23,29,87,0,Young Enthusiasts
31,Male,60,30,4,2,Cautious Seniors
32,Female,21,30,73,0,Young Enthusiasts
33,Male,53,33,4,2,Cautious Seniors
34,Male,18,33,92,0,Young Enthusiasts
35,Female,49,33,14,2,Cautious Seniors
36,Female,21,33,81,0,Young Enthusiasts
37,Female,42,34,17,2,Cautious Seniors
38,Female,30,34,73,0,Young Enthusiasts
39,Female,36,37,26,1,Average Customers
40,Female,20,37,75,0,Young Enthusiasts
41,Female,65,38,35,2,Cautious Seniors
42,Male,24,38,92,0,Young Enthusiasts
43,Male,48,39,36,4,Affluent Conservatives
44,Female,31,39,61,0,Young Enthusiasts
45,Female,49,39,28,2,Cautious Seniors
46,Female,24,39,65,0,Young Enthusiasts
47,Female,50,40,55,1,Average Customers
48,Female,27,40,47,1,Average Customers
49,Female,29,40,42,1,Average Customers
50,Female,31,40,42,1,Average Customers
51,Female,49,42,52,1,Average Customers
52,Male,33,42,60,1,Average Customers
53,Female,31,43,54,1,Average Customers
54,Male,59,43,60,4,Affluent Conservatives
55,Female,50,43,45,1,Average Customers
56,Male,47,43,41,4,Affluent Conservatives
57,Female,51,44,50,1,Average Customers
58,Male,69,44,46,2,Cautious Seniors
59,Female,27,46,51,0,Young Enthusiasts
60,Male,53,46,46,4,Affluent Conservatives
61,Male,70,46,56,4,Affluent Conservatives
62,Male,19,46,55,3,High-Value Trendsetters
63,Female,67,47,52,2,Cautious Seniors
64,Female,54,47,59,1,Average Customers
65,Male,63,48,51,4,Affluent Conservatives
66,Male,18,48,59,3,High-Value Trendsetters
67,Female,43,48,50,1,Average Customers
68,Female,68,48,48,2,Cautious Seniors
69,Male,19,48,59,3,High-Value Trendsetters
70,Female,32,48,47,1,Average Customers
71,Male,70,49,55,4,Affluent Conservatives
72,Female,47,49,42,1,Average Customers
73,Female,60,50,49,2,Cautious Seniors
74,Female,60,50,56,1,Average Customers
75,Male,59,54,47,4,Affluent Conservatives
76,Male,26,54,54,3,High-Value Trendsetters
77,Female,45,54,53,1,Average Customers
78,Male,40,54,48,4,Affluent Conservatives
79,Female,23,54,52,0,Young Enthusiasts
80,Female,49,54,42,1,Average Customers
81,Male,57,54,51,4,Affluent Conservatives
82,Male,38,54,55,4,Affluent Conservatives
83,Male,67,54,41,4,Affluent Conservatives
84,Female,46,54,44,1,Average Customers
85,Female,21,54,57,0,Young Enthusiasts
86,Male,48,54,46,4,Affluent Conservatives
87,Female,55,57,58,1,Average Customers
88,Female,22,57,55,0,Young Enthusiasts
89,Female,34,58,60,0,Young Enthusiasts
90,Female,50,58,46,1,Average Customers
91,Female,68,59,55,2,Cautious Seniors
92,Male,18,59,41,3,High-Value Trendsetters
93,Male,48,60,49,4,Affluent Conservatives
94,Female,40,60,40,1,Average Customers
95,Female,32,60,42,1,Average Customers
96,Male,24,60,52,3,High-Value Trendsetters
97,Female,47,60,47,1,Average Customers
98,Female,27,60,50,0,Young Enthusiasts
99,Male,48,61,42,4,Affluent Conservatives
100,Male,20,61,49,3,High-Value Trendsetters
101,Female,23,62,41,0,Young Enthusiasts
